product_name,category,sub_category,brand,quantity,price,mrp,discount_percent,savings_amount,rating,reviews,available_quantity,availability,value_score,rating_was_missing,out_of_stock,quantity_raw
Onion,Fruits & Vegetables,Unknown,Unbranded,1000,21.0,25.0,16,4.0,3.0,0,3,In Stock,0.22516675539147604,True,False,1
Tomato Hybrid,Fruits & Vegetables,Unknown,Unbranded,1000,35.0,42.0,16,7.0,3.0,0,3,In Stock,0.19422249803983405,True,False,1
Tender Coconut,Fruits & Vegetables,Unknown,Unbranded,58,43.0,51.0,15,8.0,3.0,0,3,In Stock,0.18233758525614735,True,False,1
Coriander Leaves,Fruits & Vegetables,Unknown,Unbranded,100,17.0,20.0,15,3.0,3.0,0,3,In Stock,0.23872361682022356,True,False,100
Ladies Finger,Fruits & Vegetables,Unknown,Unbranded,250,12.0,14.0,14,2.0,3.0,0,3,In Stock,0.2666719317518756,True,False,250
Potato,Fruits & Vegetables,Unknown,Unbranded,1000,29.0,35.0,17,6.0,3.0,0,3,In Stock,0.20639790086423462,True,False,1
Lemon,Fruits & Vegetables,Unknown,Unbranded,200,63.0,75.0,16,12.0,3.0,0,3,In Stock,0.16735262474311977,True,False,200
Watermelon,Fruits & Vegetables,Unknown,Unbranded,58,49.0,58.0,15,9.0,3.0,0,3,In Stock,0.1763793308583787,True,False,1
Capsicum Green,Fruits & Vegetables,Unknown,Unbranded,250,19.0,23.0,17,4.0,3.0,0,3,In Stock,0.2343333568881245,True,False,250
Chilli Green,Fruits & Vegetables,Unknown,Unbranded,100,16.0,19.0,15,3.0,3.0,0,3,In Stock,0.24353972546668518,True,False,100
Banana Robusta,Fruits & Vegetables,Unknown,Unbranded,348,24.0,29.0,17,5.0,3.0,0,3,In Stock,0.21808856203042373,True,False,6
Garlic Indian,Fruits & Vegetables,Unknown,Unbranded,100,10.0,11.0,18,1.0,3.0,0,3,In Stock,0.2952589331283664,True,False,100
Cauliflower,Fruits & Vegetables,Unknown,Unbranded,58,22.0,26.0,15,4.0,3.0,0,3,In Stock,0.22006100234362266,True,False,1
Ginger,Fruits & Vegetables,Unknown,Unbranded,200,12.0,14.0,14,2.0,3.0,0,3,In Stock,0.2666719317518756,True,False,200
Spinach,Fruits & Vegetables,Unknown,Unbranded,250,16.0,19.0,15,3.0,3.0,0,3,In Stock,0.24353972546668518,True,False,250
Muskmelon,Fruits & Vegetables,Unknown,Unbranded,58,35.0,42.0,16,7.0,3.0,0,3,In Stock,0.19422249803983405,True,False,1
Cabbage,Fruits & Vegetables,Unknown,Unbranded,58,13.0,15.0,13,2.0,3.0,0,3,In Stock,0.2569099171857869,True,False,1
Methi,Fruits & Vegetables,Unknown,Unbranded,250,25.0,30.0,16,5.0,3.0,0,3,In Stock,0.21362166279537384,True,False,250
Broccoli,Fruits & Vegetables,Unknown,Unbranded,500,30.0,36.0,16,6.0,3.0,0,3,In Stock,0.20267984664909386,True,False,500
Sapota,Fruits & Vegetables,Unknown,Unbranded,348,25.0,30.0,16,5.0,3.0,0,3,In Stock,0.21362166279537384,True,False,6
Onion,Fruits & Vegetables,Unknown,Unbranded,3000,57.0,68.0,16,11.0,3.0,0,3,In Stock,0.1714098678868881,True,False,3
Potato,Fruits & Vegetables,Unknown,Unbranded,3000,84.0,100.0,16,16.0,3.0,0,3,In Stock,0.15666320848011783,True,False,3
Orange Nagpur,Fruits & Vegetables,Unknown,Unbranded,232,69.0,82.0,15,13.0,3.0,0,3,In Stock,0.1624104443311469,True,False,4
Mint Leaves,Fruits & Vegetables,Unknown,Unbranded,100,10.0,11.0,18,1.0,3.0,0,3,In Stock,0.2952589331283664,True,False,100
Beans French,Fruits & Vegetables,Unknown,Unbranded,250,28.0,33.0,15,5.0,3.0,0,3,In Stock,0.20491220101762533,True,False,250
Bottle Gourd,Fruits & Vegetables,Unknown,Unbranded,58,22.0,26.0,15,4.0,3.0,0,3,In Stock,0.22006100234362266,True,False,1
Banana Elaichi,Fruits & Vegetables,Unknown,Unbranded,348,49.0,58.0,15,9.0,3.0,0,3,In Stock,0.1763793308583787,True,False,6
Coconut Big,Fruits & Vegetables,Unknown,Unbranded,58,30.0,36.0,16,6.0,3.0,0,3,In Stock,0.20267984664909386,True,False,1
Curry Leaves,Fruits & Vegetables,Unknown,Unbranded,50,11.0,13.0,15,2.0,3.0,0,3,In Stock,0.2776764270234728,True,False,50
Brinjal Bharta,Fruits & Vegetables,Unknown,Unbranded,58,16.0,19.0,15,3.0,3.0,0,3,In Stock,0.24353972546668518,True,False,1
